Player,Age,Team,Pos,G,MP,PER,WS,WS/48,OWS,DWS,BPM,OBPM,DBPM,VORP,TS%,USG%,SEASON_END_YEAR,SEASON_LABEL,name_key,PERSON_ID,PLAYER_NAME,DRAFT_YEAR,OVERALL_PICK,ROUND_NUMBER,DRAFT_TEAM,ORGANIZATION,pick_bin,era,years_pro,SALARY_USD,SALARY_SEASON_LABEL,VORP_per_1M,WS_per_1M
Morris Peterson,27.0,TOR,SG,82.0,2510.0,14.4,5.1,0.098,3.5,1.6,0.2,0.4,-0.3,1.4,0.543,18.9,2005,2004-05,morris peterson,2050,Morris Peterson,2000,21,1,Toronto,Michigan State,Picks 15-30,Pre-Analytics,5,2371000.0,2004-05,0.5904681568958245,2.1509911429776465
Marc Gasol,24.0,MEM,C,82.0,2521.0,16.7,6.4,0.121,3.7,2.7,-0.1,-0.3,0.2,1.2,0.59,18.3,2009,2008-09,marc gasol,201188,Marc Gasol,2007,48,2,Los Angeles,CB Sant Josep (Spain),Second Round,Pre-Analytics,2,3093333.0,2008-09,0.3879310762856763,2.068965740190274
Derek Fisher,34.0,LAL,PG,82.0,2441.0,12.1,6.3,0.123,3.6,2.7,0.2,-0.5,0.7,1.3,0.546,14.7,2009,2008-09,derek fisher,965,Derek Fisher,1996,24,1,Los Angeles,Arkansas-Little Rock,Picks 15-30,Pre-Analytics,13,4700000.0,2008-09,0.2765957446808511,1.3404255319148934
Luc Mbah a Moute,22.0,MIL,PF,82.0,2114.0,12.3,4.0,0.092,1.2,2.8,-0.8,-1.6,0.8,0.6,0.516,14.3,2009,2008-09,luc mbah a moute,201601,Luc Mbah a Moute,2008,37,2,Milwaukee,California-Los Angeles,Second Round,Pre-Analytics,1,757000.0,2008-09,0.7926023778071334,5.284015852047556
Shandon Anderson,26.0,HOU,SF,82.0,2700.0,13.8,4.9,0.087,3.0,1.9,-0.5,-0.3,-0.2,1.1,0.567,17.6,2000,1999-00,shandon anderson,1000,Shandon Anderson,1996,54,2,Utah,Georgia,Second Round,Pre-Analytics,4,,,,
Othella Harrington,26.0,VAN,PF,82.0,2677.0,13.3,3.0,0.054,2.0,1.0,-3.5,-1.7,-1.8,-1.0,0.56,20.0,2000,1999-00,othella harrington,970,Othella Harrington,1996,30,2,Houston,Georgetown,Picks 15-30,Pre-Analytics,4,,,,
Luis Scola,28.0,HOU,PF,82.0,2488.0,17.0,8.6,0.165,4.3,4.3,0.5,-0.2,0.7,1.6,0.572,19.3,2009,2008-09,luis scola,2449,Luis Scola,2002,55,2,San Antonio,Saski Baskonia (Spain),Second Round,Pre-Analytics,7,3100667.0,2008-09,0.516018005158245,2.7735967777255666
Roger Mason,28.0,SAS,SG,82.0,2496.0,11.9,4.7,0.091,1.9,2.9,-0.9,-0.7,-0.2,0.7,0.554,18.9,2009,2008-09,roger mason,2427,Roger Mason Jr.,2002,30,2,Chicago,Virginia,Picks 15-30,Pre-Analytics,7,3500000.0,2008-09,0.19999999999999998,1.342857142857143
Brook Lopez,20.0,NJN,C,82.0,2501.0,17.9,5.8,0.112,3.2,2.7,-0.6,-0.3,-0.3,0.9,0.568,20.3,2009,2008-09,brook lopez,201572,Brook Lopez,2008,10,1,New Jersey,Stanford,Picks 6-14,Pre-Analytics,1,2098560.0,2008-09,0.42886550777676125,2.7637999390057946
Shandon Anderson,24.0,UTA,SG,82.0,1602.0,15.7,4.2,0.127,2.9,1.4,0.7,0.8,-0.1,1.1,0.586,19.5,1998,1997-98,shandon anderson,1000,Shandon Anderson,1996,54,2,Utah,Georgia,Second Round,Pre-Analytics,2,,,,
Joel Przybilla,29.0,POR,C,82.0,1952.0,15.4,6.6,0.163,3.2,3.4,0.9,-0.3,1.2,1.4,0.652,10.2,2009,2008-09,joel przybilla,2038,Joel Przybilla,2000,9,1,Houston,Minnesota,Picks 6-14,Pre-Analytics,9,6310150.0,2008-09,0.22186477342060013,1.045933931839972
Ricky Davis,25.0,BOS,SG,82.0,2696.0,15.0,4.2,0.074,2.5,1.7,-0.8,0.4,-1.1,0.8,0.547,23.4,2005,2004-05,ricky davis,1729,Ricky Davis,1998,21,1,Charlotte,Iowa,Picks 15-30,Pre-Analytics,7,,,,
Larry Hughes,21.0,2TM,SG,82.0,2324.0,14.7,1.7,0.036,-0.5,2.2,-0.9,-0.3,-0.6,0.7,0.467,27.8,2000,1999-00,larry hughes,1716,Larry Hughes,1998,8,1,Philadelphia,Saint Louis,Picks 6-14,Pre-Analytics,2,,,,
Mario Chalmers,22.0,MIA,PG,82.0,2626.0,13.3,5.2,0.095,2.1,3.1,-0.4,-1.4,1.1,1.0,0.548,16.3,2009,2008-09,mario chalmers,201596,Mario Chalmers,2008,34,2,Minnesota,Kansas,Second Round,Pre-Analytics,1,700000.0,2008-09,1.4285714285714286,7.367107320540184
Andre Iguodala,21.0,PHI,SG,82.0,2686.0,13.5,6.6,0.118,2.7,4.0,1.4,-0.7,2.1,2.3,0.58,12.8,2005,2004-05,andre iguodala,2738,Andre Iguodala,2004,9,1,Philadelphia,Arizona,Picks 6-14,Pre-Analytics,1,,,,
