Player,Age,Team,Pos,G,MP,PER,WS,WS/48,OWS,DWS,BPM,OBPM,DBPM,VORP,TS%,USG%,SEASON_END_YEAR,SEASON_LABEL
John Starks,31.0,NYK,SG,77.0,2042.0,15.9,5.8,0.136,2.5,3.3,2.6,1.6,1.0,2.4,0.555,25.1,1997,1996-97
Charles Barkley,33.0,HOU,PF,53.0,2009.0,23.0,9.4,0.224,5.7,3.7,5.7,4.5,1.2,3.9,0.581,23.2,1997,1996-97
Derek Strong,28.0,ORL,PF,82.0,2004.0,13.6,4.1,0.099,1.7,2.4,-2.5,-1.8,-0.7,-0.3,0.513,18.0,1997,1996-97
LaPhonso Ellis,26.0,DEN,PF,55.0,2002.0,18.2,3.6,0.087,2.7,0.9,0.5,2.2,-1.7,1.3,0.529,28.0,1997,1996-97
Terry Mills,29.0,DET,PF,79.0,1997.0,16.4,6.2,0.148,3.6,2.5,2.7,3.0,-0.3,2.4,0.585,20.3,1997,1996-97
Billy Owens,27.0,SAC,SF,66.0,1995.0,13.6,2.8,0.069,1.2,1.7,-0.5,-0.3,-0.2,0.7,0.514,18.8,1997,1996-97
Corliss Williamson,23.0,SAC,SF,79.0,1992.0,14.3,2.7,0.064,1.2,1.5,-2.3,-1.6,-0.8,-0.2,0.535,22.8,1997,1996-97
Sam Perkins,35.0,SEA,C,81.0,1976.0,17.0,7.1,0.173,4.4,2.7,3.3,3.0,0.3,2.6,0.584,19.4,1997,1996-97
Kevin Willis,34.0,HOU,PF,75.0,1964.0,14.3,3.8,0.093,0.8,3.0,-3.5,-2.5,-0.9,-0.7,0.515,21.7,1997,1996-97
Jason Kidd,23.0,2TM,PG,55.0,1964.0,16.9,4.4,0.107,2.3,2.0,1.8,1.2,0.7,1.9,0.498,17.2,1997,1996-97
Jason Kidd,23.0,DAL,PG,22.0,791.0,15.1,1.1,0.064,0.3,0.7,0.4,0.6,-0.2,0.5,0.465,17.4,1997,1996-97
Jason Kidd,23.0,PHO,PG,33.0,1173.0,18.0,3.3,0.136,2.0,1.3,2.8,1.5,1.3,1.4,0.519,17.1,1997,1996-97
Tony Massenburg,29.0,NJN,PF,79.0,1954.0,11.9,2.8,0.069,1.6,1.2,-4.2,-2.6,-1.6,-1.1,0.523,13.8,1997,1996-97
Lee Mayberry,26.0,VAN,PG,80.0,1952.0,10.2,1.6,0.04,1.7,-0.1,-3.5,-2.0,-1.5,-0.7,0.525,11.4,1997,1996-97
Dennis Rodman,35.0,CHI,PF,55.0,1947.0,13.9,6.0,0.148,2.0,4.0,0.5,0.2,0.3,1.2,0.479,10.0,1997,1996-97
Dominique Wilkins,37.0,SAS,SF,63.0,1945.0,19.6,3.4,0.083,3.1,0.3,0.3,3.3,-3.0,1.1,0.517,29.7,1997,1996-97
Shaquille O'Neal,24.0,LAL,C,51.0,1941.0,27.1,8.0,0.197,4.1,3.9,6.5,4.7,1.8,4.1,0.556,31.1,1997,1996-97
Lorenzen Wright,21.0,LAC,C,77.0,1936.0,12.5,3.2,0.079,1.5,1.7,-3.0,-2.0,-1.0,-0.5,0.504,14.7,1997,1996-97
Doug West,29.0,MIN,SG,68.0,1920.0,8.5,1.7,0.042,0.5,1.2,-3.6,-3.9,0.3,-0.8,0.505,14.1,1997,1996-97
Gary Trent,22.0,POR,PF,82.0,1918.0,16.8,5.5,0.139,2.9,2.6,0.1,0.2,-0.1,1.0,0.569,21.2,1997,1996-97
Will Perdue,31.0,SAS,C,65.0,1918.0,16.7,4.4,0.11,2.9,1.5,-1.1,0.0,-1.1,0.4,0.582,13.9,1997,1996-97
Marcus Camby,22.0,TOR,C,63.0,1897.0,17.8,3.7,0.095,1.4,2.3,-0.1,-0.7,0.6,0.9,0.523,24.3,1997,1996-97
Rasheed Wallace,22.0,POR,PF,62.0,1892.0,18.4,6.4,0.163,3.5,2.9,1.3,0.7,0.6,1.6,0.588,21.7,1997,1996-97
